phenocode	phenotype	category	num_cases	num_controls	path_bucket	path_https
HEIGHT_IRN	Height, inverse-rank normalized	Quantitative endpoints	292707	0	gs://finngen-public-data-r10/summary_stats/finngen_R10_HEIGHT_IRN.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_HEIGHT_IRN.gz
WEIGHT_IRN	Weight, inverse-rank normalized	Quantitative endpoints	297440	0	gs://finngen-public-data-r10/summary_stats/finngen_R10_WEIGHT_IRN.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_WEIGHT_IRN.gz
BMI_IRN	Body-mass index, inverse-rank normalized	Quantitative endpoints	290820	0	gs://finngen-public-data-r10/summary_stats/finngen_R10_BMI_IRN.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_BMI_IRN.gz
I9_HYPTENS	Hypertension	IX Diseases of the circulatory system (I9_)	122996	289117	gs://finngen-public-data-r10/summary_stats/finngen_R10_I9_HYPTENS.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_I9_HYPTENS.gz
T2D	Type 2 diabetes, definitions combined	Diabetes endpoints	65085	335112	gs://finngen-public-data-r10/summary_stats/finngen_R10_T2D.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_T2D.gz
RX_ANTIHYP	Antihypertensive medication - note that there are other indications	Drug purchase endpoints	222561	189620	gs://finngen-public-data-r10/summary_stats/finngen_R10_RX_ANTIHYP.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_RX_ANTIHYP.gz
I9_HYPTENSESS	Hypertension, essential	IX Diseases of the circulatory system (I9_)	102864	289117	gs://finngen-public-data-r10/summary_stats/finngen_R10_I9_HYPTENSESS.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_I9_HYPTENSESS.gz
KELA_DIAB_INSUL_EXMORE	Diabetes, insulin treatment (Kela reimbursement) (more control exclusions)	Diabetes endpoints	62368	335100	gs://finngen-public-data-r10/summary_stats/finngen_R10_KELA_DIAB_INSUL_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_KELA_DIAB_INSUL_EXMORE.gz
RX_STATIN	Statin medication	IX Diseases of the circulatory system (I9_)	144675	267506	gs://finngen-public-data-r10/summary_stats/finngen_R10_RX_STATIN.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_RX_STATIN.gz
E4_HYTHY_AI_STRICT	Hypothyroidism, strict autoimmune	IV Endocrine, nutritional and metabolic diseases (E4_)	45321	298847	gs://finngen-public-data-r10/summary_stats/finngen_R10_E4_HYTHY_AI_STRICT.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_E4_HYTHY_AI_STRICT.gz
T2D_WIDE	Type 2 diabetes, wide definition	Diabetes endpoints	42593	337038	gs://finngen-public-data-r10/summary_stats/finngen_R10_T2D_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_T2D_WIDE.gz
I9_VARICVE	Varicose veins	IX Diseases of the circulatory system (I9_)	31719	357111	gs://finngen-public-data-r10/summary_stats/finngen_R10_I9_VARICVE.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_I9_VARICVE.gz
AUTOIMMUNE	Autoimmune diseases	Diseases marked as autimmune origin	105677	306504	gs://finngen-public-data-r10/summary_stats/finngen_R10_AUTOIMMUNE.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_AUTOIMMUNE.gz
I9_DISVEINLYMPH	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	IX Diseases of the circulatory system (I9_)	55070	357111	gs://finngen-public-data-r10/summary_stats/finngen_R10_I9_DISVEINLYMPH.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_I9_DISVEINLYMPH.gz
E4_THYROID	Disorders of the thyroid gland	IV Endocrine, nutritional and metabolic diseases (E4_)	62464	349717	gs://finngen-public-data-r10/summary_stats/finngen_R10_E4_THYROID.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_E4_THYROID.gz
I9_AF	Atrial fibrillation and flutter	IX Diseases of the circulatory system (I9_)	50743	210652	gs://finngen-public-data-r10/summary_stats/finngen_R10_I9_AF.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_I9_AF.gz
I9_REVASC	Coronary revascularization (ANGIO or CABG)	IX Diseases of the circulatory system (I9_)	24661	343079	gs://finngen-public-data-r10/summary_stats/finngen_R10_I9_REVASC.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_I9_REVASC.gz
CD2_BENIGN_LEIOMYOMA_UTERI	Leiomyoma of uterus	II Neoplasms from hospital discharges (CD2_)	34422	195888	gs://finngen-public-data-r10/summary_stats/finngen_R10_CD2_BENIGN_LEIOMYOMA_UTERI.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_CD2_BENIGN_LEIOMYOMA_UTERI.gz
C3_PROSTATE_EXALLC	Malignant neoplasm of prostate (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	15199	131266	gs://finngen-public-data-r10/summary_stats/finngen_R10_C3_PROSTATE_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_C3_PROSTATE_EXALLC.gz
I9_AF_REIMB	Atrial fibrillation and flutter with reimbursement	IX Diseases of the circulatory system (I9_)	30786	210652	gs://finngen-public-data-r10/summary_stats/finngen_R10_I9_AF_REIMB.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_I9_AF_REIMB.gz
I9_IHD	Ischaemic heart disease, wide definition	IX Diseases of the circulatory system (I9_)	69008	343173	gs://finngen-public-data-r10/summary_stats/finngen_R10_I9_IHD.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_I9_IHD.gz
C3_BASAL_CELL_CARCINOMA_EXALLC	Basal cell carcinoma (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	20506	314193	gs://finngen-public-data-r10/summary_stats/finngen_R10_C3_BASAL_CELL_CARCINOMA_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_C3_BASAL_CELL_CARCINOMA_EXALLC.gz
FG_CVD	Cardiovascular diseases (excluding rheumatic etc)	Cardiometabolic endpoints	201529	210652	gs://finngen-public-data-r10/summary_stats/finngen_R10_FG_CVD.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_FG_CVD.gz
K11_CHOLELITH	Cholelithiasis	XI Diseases of the digestive system (K11_)	40191	361641	gs://finngen-public-data-r10/summary_stats/finngen_R10_K11_CHOLELITH.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_K11_CHOLELITH.gz
J10_ASTHMACOPDKELA	Asthma/COPD (KELA code 203)	X Diseases of the respiratory system (J10_)	48084	338303	gs://finngen-public-data-r10/summary_stats/finngen_R10_J10_ASTHMACOPDKELA.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_J10_ASTHMACOPDKELA.gz
I9_CORATHER	Coronary atherosclerosis	IX Diseases of the circulatory system (I9_)	51589	343079	gs://finngen-public-data-r10/summary_stats/finngen_R10_I9_CORATHER.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_I9_CORATHER.gz
C3_BASAL_CELL_CARCINOMA_INCLAVO_EXALLC	Basal cell carcinoma, including avohilmo (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	21089	313801	gs://finngen-public-data-r10/summary_stats/finngen_R10_C3_BASAL_CELL_CARCINOMA_INCLAVO_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_C3_BASAL_CELL_CARCINOMA_INCLAVO_EXALLC.gz
M13_ARTHROSIS	Arthrosis	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	80598	262844	gs://finngen-public-data-r10/summary_stats/finngen_R10_M13_ARTHROSIS.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_M13_ARTHROSIS.gz
I9_CHD	Major coronary heart disease event	IX Diseases of the circulatory system (I9_)	46959	365222	gs://finngen-public-data-r10/summary_stats/finngen_R10_I9_CHD.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_I9_CHD.gz
CARDIAC_ARRHYTM	Cardiac arrhythmias	Comorbidities of COPD	74000	239778	gs://finngen-public-data-r10/summary_stats/finngen_R10_CARDIAC_ARRHYTM.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_CARDIAC_ARRHYTM.gz
C3_OTHER_SKIN_EXALLC	Other malignant neoplasms of skin (=non-melanoma skin cancer) (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	19077	314193	gs://finngen-public-data-r10/summary_stats/finngen_R10_C3_OTHER_SKIN_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_C3_OTHER_SKIN_EXALLC.gz
C3_SKIN_EXALLC	Malignant neoplasm of skin (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	22271	314193	gs://finngen-public-data-r10/summary_stats/finngen_R10_C3_SKIN_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_C3_SKIN_EXALLC.gz
M13_ARTHROSIS_KNEE	Gonarthrosis	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	48836	262844	gs://finngen-public-data-r10/summary_stats/finngen_R10_M13_ARTHROSIS_KNEE.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_M13_ARTHROSIS_KNEE.gz
H7_GLAUCOMA	Glaucoma	VII Diseases of the eye and adnexa (H7_)	20906	391275	gs://finngen-public-data-r10/summary_stats/finngen_R10_H7_GLAUCOMA.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_H7_GLAUCOMA.gz
J10_LOWCHRON	Chronic lower respiratory diseases	X Diseases of the respiratory system (J10_)	73878	338303	gs://finngen-public-data-r10/summary_stats/finngen_R10_J10_LOWCHRON.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_J10_LOWCHRON.gz
K11_HERING	Inguinal hernia	XI Diseases of the digestive system (K11_)	35248	352418	gs://finngen-public-data-r10/summary_stats/finngen_R10_K11_HERING.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_K11_HERING.gz
I9_CABG	Coronary artery bypass grafting	IX Diseases of the circulatory system (I9_)	11582	343079	gs://finngen-public-data-r10/summary_stats/finngen_R10_I9_CABG.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_I9_CABG.gz
I9_ANGINA	Angina pectoris	IX Diseases of the circulatory system (I9_)	36875	343079	gs://finngen-public-data-r10/summary_stats/finngen_R10_I9_ANGINA.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_I9_ANGINA.gz
K11_HERNIA	Hernia	XI Diseases of the digestive system (K11_)	59763	352418	gs://finngen-public-data-r10/summary_stats/finngen_R10_K11_HERNIA.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_K11_HERNIA.gz
M13_ARTHROSIS_INCLAVO	Artrosis, including avohilmo	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	105552	306629	gs://finngen-public-data-r10/summary_stats/finngen_R10_M13_ARTHROSIS_INCLAVO.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_M13_ARTHROSIS_INCLAVO.gz
L12_ATOPIC	Atopic dermatitis	XII Diseases of the skin and subcutaneous tissue (L12_)	15208	367046	gs://finngen-public-data-r10/summary_stats/finngen_R10_L12_ATOPIC.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_L12_ATOPIC.gz
K11_KELAIBD	IBD patients in KELA-register	XI Diseases of the digestive system (K11_)	9083	392974	gs://finngen-public-data-r10/summary_stats/finngen_R10_K11_KELAIBD.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_K11_KELAIBD.gz
K11_IBD_STRICT	Inflammatory bowel disease, strict (require KELA)	XI Diseases of the digestive system (K11_)	9083	403098	gs://finngen-public-data-r10/summary_stats/finngen_R10_K11_IBD_STRICT.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_K11_IBD_STRICT.gz
AUTOIMMUNE_NONTHYROID	Autoimmune diseases excluding thyroid diseases	Diseases marked as autimmune origin	58156	305535	gs://finngen-public-data-r10/summary_stats/finngen_R10_AUTOIMMUNE_NONTHYROID.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_AUTOIMMUNE_NONTHYROID.gz
C3_BREAST_EXALLC	Malignant neoplasm of breast (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	18786	182927	gs://finngen-public-data-r10/summary_stats/finngen_R10_C3_BREAST_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_C3_BREAST_EXALLC.gz
J10_CHRONTONSADEN	Chronic diseases of tonsils and adenoids	X Diseases of the respiratory system (J10_)	48057	308457	gs://finngen-public-data-r10/summary_stats/finngen_R10_J10_CHRONTONSADEN.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_J10_CHRONTONSADEN.gz
C3_CANCER_EXALLC	Malignant neoplasm (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	87531	314193	gs://finngen-public-data-r10/summary_stats/finngen_R10_C3_CANCER_EXALLC.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_C3_CANCER_EXALLC.gz
J10_ASTHMA_EXMORE	Asthma (more control exclusions)	X Diseases of the respiratory system (J10_)	46684	219734	gs://finngen-public-data-r10/summary_stats/finngen_R10_J10_ASTHMA_EXMORE.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_J10_ASTHMA_EXMORE.gz
I9_VTE	Venous thromboembolism	IX Diseases of the circulatory system (I9_)	21021	391160	gs://finngen-public-data-r10/summary_stats/finngen_R10_I9_VTE.gz	https://storage.googleapis.com/finngen-public-data-r10/summary_stats/finngen_R10_I9_VTE.gz
